,Data,Godz.,prog. zap 2022,zap 2022
472,2022-01-20,17,26300,"25456,213"
473,2022-01-20,18,26300,"25778,188"
474,2022-01-20,19,25900,"25462,063"
475,2022-01-20,20,25900,"25273,975"
476,2022-01-20,21,25550,"24719,225"
477,2022-01-20,22,24150,"23256,463"
478,2022-01-20,23,22550,"21680,938"
479,2022-01-20,24,21300,"20395,713"
480,2022-01-21,1,19950,"19486,675"
481,2022-01-21,2,19200,"18893,988"
482,2022-01-21,3,18800,"18551,2"
483,2022-01-21,4,19000,"18580,1"
484,2022-01-21,5,19500,"18851,925"
485,2022-01-21,6,20900,"19777,888"
486,2022-01-21,7,24300,"22312,238"
487,2022-01-21,8,25150,"24187,938"
488,2022-01-21,9,25900,"25037,213"
489,2022-01-21,10,25950,"25435,5"
490,2022-01-21,11,25850,"25439,7"
491,2022-01-21,12,26000,"25661,725"
492,2022-01-21,13,26100,"25706,013"
493,2022-01-21,14,26350,"25754,213"
494,2022-01-21,15,26100,"25299,9"
495,2022-01-21,16,25750,"25112,888"
496,2022-01-21,17,26300,"25516,35"
497,2022-01-21,18,26300,"25722,425"
498,2022-01-21,19,25900,"25233,738"
499,2022-01-21,20,25900,"25153,925"
500,2022-01-21,21,25550,"24531,075"
501,2022-01-21,22,24250,"22996,225"
502,2022-01-21,23,22650,"21680,35"
503,2022-01-21,24,21400,"20562,038"
504,2022-01-22,1,19900,"19509,925"
505,2022-01-22,2,19150,"18899,763"
506,2022-01-22,3,18650,"18367,038"
507,2022-01-22,4,18450,"18193,075"
508,2022-01-22,5,18600,"18348,825"
509,2022-01-22,6,19100,"18521,138"
510,2022-01-22,7,20300,"19509,713"
511,2022-01-22,8,21050,"20336,363"
512,2022-01-22,9,22000,"21612,863"
513,2022-01-22,10,22550,"22673,6"
514,2022-01-22,11,22800,"23285,063"
515,2022-01-22,12,22800,"23313,875"
516,2022-01-22,13,22800,"23142,425"
517,2022-01-22,14,22800,"22959,275"
518,2022-01-22,15,22350,"22512,188"
519,2022-01-22,16,22550,"22047,375"
520,2022-01-22,17,23300,"22403,775"
521,2022-01-22,18,23300,"22817,325"
522,2022-01-22,19,23000,"22639,825"
523,2022-01-22,20,22850,"22429,838"
524,2022-01-22,21,22350,"21871,763"
525,2022-01-22,22,21350,"20706,338"
526,2022-01-22,23,20300,"19581,588"
527,2022-01-22,24,19300,"18498,775"
528,2022-01-23,1,17850,"17415,15"
529,2022-01-23,2,17150,"16898,95"
530,2022-01-23,3,16650,"16507,975"
531,2022-01-23,4,16500,"16307,175"
532,2022-01-23,5,16600,"16515,038"
533,2022-01-23,6,16850,"16619,263"
534,2022-01-23,7,17450,"17015,5"
535,2022-01-23,8,17700,"17261,9"
536,2022-01-23,9,18700,"18160,05"
537,2022-01-23,10,19450,19182
538,2022-01-23,11,19900,"19876,338"
539,2022-01-23,12,20100,"20282,463"
540,2022-01-23,13,20300,"20499,338"
541,2022-01-23,14,20350,"20563,738"
542,2022-01-23,15,20150,"20321,888"
543,2022-01-23,16,20350,"19968,05"
544,2022-01-23,17,21450,"20382,85"
545,2022-01-23,18,21550,"21119,988"
546,2022-01-23,19,21600,"21164,388"
547,2022-01-23,20,21600,"21196,188"
548,2022-01-23,21,21350,"20879,525"
549,2022-01-23,22,20550,"20033,325"
550,2022-01-23,23,19700,"19420,825"
551,2022-01-23,24,18750,"18444,113"
552,2022-01-24,1,17850,"17592,013"
553,2022-01-24,2,17350,"17121,375"
554,2022-01-24,3,17100,"16952,35"
555,2022-01-24,4,17400,"16986,2"
556,2022-01-24,5,18250,"17499,825"
557,2022-01-24,6,20200,"18617,75"
558,2022-01-24,7,23900,"21641,375"
559,2022-01-24,8,25050,"23850,15"
560,2022-01-24,9,26150,"24988,363"
561,2022-01-24,10,26250,"25606,8"
562,2022-01-24,11,25950,"25601,75"
563,2022-01-24,12,26050,"25880,038"
564,2022-01-24,13,26250,"25783,013"
565,2022-01-24,14,26450,"25803,938"
566,2022-01-24,15,26000,"25514,425"
567,2022-01-24,16,25850,"25327,288"
568,2022-01-24,17,26650,"25567,713"
569,2022-01-24,18,26650,"25787,25"
570,2022-01-24,19,26200,"25419,95"
571,2022-01-24,20,26100,"25241,763"
572,2022-01-24,21,25650,"24589,175"
573,2022-01-24,22,24500,"23087,838"
574,2022-01-24,23,22700,"21628,638"
575,2022-01-24,24,21300,"20331,113"
576,2022-01-25,1,19900,"19306,038"
577,2022-01-25,2,19200,"18764,225"
578,2022-01-25,3,18900,"18394,525"
579,2022-01-25,4,18850,"18457,288"
580,2022-01-25,5,19400,"18789,725"
581,2022-01-25,6,20850,"19667,563"
582,2022-01-25,7,24000,"22132,95"
583,2022-01-25,8,25100,"23877,2"
584,2022-01-25,9,25900,"24938,813"
585,2022-01-25,10,25900,"25403,238"
586,2022-01-25,11,26200,"25395,963"
587,2022-01-25,12,26300,"25765,888"
588,2022-01-25,13,26500,"25844,275"
589,2022-01-25,14,26500,"25907,4"
590,2022-01-25,15,26050,"25480,275"
591,2022-01-25,16,25700,"25194,2"
592,2022-01-25,17,26350,"25401,6"
593,2022-01-25,18,26350,"25645,125"
594,2022-01-25,19,25800,"25303,838"
595,2022-01-25,20,25700,"25183,363"
596,2022-01-25,21,25250,"24556,338"
597,2022-01-25,22,24000,"23076,463"
598,2022-01-25,23,22300,"21625,663"
599,2022-01-25,24,21050,"20268,788"
600,2022-01-26,1,19800,"19185,925"
601,2022-01-26,2,19100,"18596,188"
602,2022-01-26,3,18800,"18227,438"
603,2022-01-26,4,18750,"18270,988"
604,2022-01-26,5,19300,"18755,988"
605,2022-01-26,6,20750,"19637,825"
606,2022-01-26,7,23900,"21841,65"
607,2022-01-26,8,25000,"23670,613"
608,2022-01-26,9,25850,"24772,913"
609,2022-01-26,10,25850,"25205,013"
610,2022-01-26,11,26100,"25194,3"
611,2022-01-26,12,26200,"25614,338"
612,2022-01-26,13,26400,"25771,85"
613,2022-01-26,14,26400,"25873,063"
614,2022-01-26,15,25950,"25477,663"
615,2022-01-26,16,25600,"25075,025"
616,2022-01-26,17,26200,"25248,425"
617,2022-01-26,18,26200,"25580,875"
618,2022-01-26,19,25650,"25185,463"
619,2022-01-26,20,25600,"25085,638"
620,2022-01-26,21,25150,"24415,45"
621,2022-01-26,22,23900,"22805,713"
622,2022-01-26,23,22200,"21355,313"
623,2022-01-26,24,20950,"19985,138"
624,2022-01-27,1,19400,"19080,763"
625,2022-01-27,2,18700,"18504,388"
626,2022-01-27,3,18400,"18105,338"
627,2022-01-27,4,18400,"18227,625"
628,2022-01-27,5,18950,"18517,588"
629,2022-01-27,6,20450,"19274,325"
630,2022-01-27,7,23500,"21732,388"
631,2022-01-27,8,24700,"23488,663"
632,2022-01-27,9,25550,"24559,725"
633,2022-01-27,10,25700,25132
634,2022-01-27,11,25900,"25209,813"
635,2022-01-27,12,25950,"25471,925"
636,2022-01-27,13,26000,"25762,025"
637,2022-01-27,14,26300,"25834,675"
638,2022-01-27,15,25700,"25472,15"
639,2022-01-27,16,25250,"25214,613"
640,2022-01-27,17,25950,"25220,7"
641,2022-01-27,18,25950,"25406,3"
642,2022-01-27,19,25450,"25146,588"
643,2022-01-27,20,25400,"24879,688"
644,2022-01-27,21,25000,"24136,388"
645,2022-01-27,22,23650,"22576,725"
646,2022-01-27,23,22000,"21207,913"
647,2022-01-27,24,20750,"19874,125"
648,2022-01-28,1,19800,"18786,2"
649,2022-01-28,2,19100,"18214,113"
650,2022-01-28,3,18800,"17850,763"
651,2022-01-28,4,18800,"17833,65"
652,2022-01-28,5,19350,"18259,675"
653,2022-01-28,6,20750,"19073,7"
654,2022-01-28,7,23500,"21520,938"
655,2022-01-28,8,24700,"23130,15"
656,2022-01-28,9,25550,"24291,888"
657,2022-01-28,10,25700,"24957,675"
658,2022-01-28,11,26100,"24985,875"
659,2022-01-28,12,26350,"25372,263"
660,2022-01-28,13,26400,"25504,75"
661,2022-01-28,14,26600,"25481,025"
662,2022-01-28,15,26200,"25185,3"
